month_end,condition,demographics_type,demographics_values,rate_per_100000_visits
2022-05,Anxiety Disorders,RaceEthnicity,"AI/AN, NH",2904
2022-05,Anxiety Disorders,RaceEthnicity,All,2470
2022-05,Anxiety Disorders,RaceEthnicity,"Asian, NH",1395
2022-05,Anxiety Disorders,RaceEthnicity,"Black, NH",1596
2022-05,Anxiety Disorders,RaceEthnicity,Hispanic,2097
2022-05,Anxiety Disorders,RaceEthnicity,"Multiple/Other, NH",1800
2022-05,Anxiety Disorders,RaceEthnicity,"NHOPI, NH",1632
2022-05,Anxiety Disorders,RaceEthnicity,"White, NH",3084
2022-04,Anxiety Disorders,RaceEthnicity,"AI/AN, NH",3140
2022-04,Anxiety Disorders,RaceEthnicity,All,2629
2022-04,Anxiety Disorders,RaceEthnicity,"Asian, NH",1528
2022-04,Anxiety Disorders,RaceEthnicity,"Black, NH",1707
2022-04,Anxiety Disorders,RaceEthnicity,Hispanic,2205
2022-04,Anxiety Disorders,RaceEthnicity,"Multiple/Other, NH",1892
2022-04,Anxiety Disorders,RaceEthnicity,"NHOPI, NH",1581
2022-04,Anxiety Disorders,RaceEthnicity,"White, NH",3279
2022-03,Anxiety Disorders,RaceEthnicity,"AI/AN, NH",3340
2022-03,Anxiety Disorders,RaceEthnicity,All,2746
2022-03,Anxiety Disorders,RaceEthnicity,"Asian, NH",1665
2022-03,Anxiety Disorders,RaceEthnicity,"Black, NH",1762
2022-03,Anxiety Disorders,RaceEthnicity,Hispanic,2351
2022-03,Anxiety Disorders,RaceEthnicity,"Multiple/Other, NH",1979
2022-03,Anxiety Disorders,RaceEthnicity,"NHOPI, NH",1891
2022-03,Anxiety Disorders,RaceEthnicity,"White, NH",3410
2022-02,Anxiety Disorders,RaceEthnicity,"AI/AN, NH",3471
2022-02,Anxiety Disorders,RaceEthnicity,All,2844
2022-02,Anxiety Disorders,RaceEthnicity,"Asian, NH",1607
2022-02,Anxiety Disorders,RaceEthnicity,"Black, NH",1833
2022-02,Anxiety Disorders,RaceEthnicity,Hispanic,2444
2022-02,Anxiety Disorders,RaceEthnicity,"Multiple/Other, NH",2078
2022-02,Anxiety Disorders,RaceEthnicity,"NHOPI, NH",1784
2022-02,Anxiety Disorders,RaceEthnicity,"White, NH",3495
2022-01,Anxiety Disorders,RaceEthnicity,"AI/AN, NH",3011
2022-01,Anxiety Disorders,RaceEthnicity,All,2476
2022-01,Anxiety Disorders,RaceEthnicity,"Asian, NH",1373
2022-01,Anxiety Disorders,RaceEthnicity,"Black, NH",1523
2022-01,Anxiety Disorders,RaceEthnicity,Hispanic,2158
2022-01,Anxiety Disorders,RaceEthnicity,"Multiple/Other, NH",1699
2022-01,Anxiety Disorders,RaceEthnicity,"NHOPI, NH",1488
2022-01,Anxiety Disorders,RaceEthnicity,"White, NH",3102
2021-12,Anxiety Disorders,RaceEthnicity,"AI/AN, NH",3121
2021-12,Anxiety Disorders,RaceEthnicity,All,2378
2021-12,Anxiety Disorders,RaceEthnicity,"Asian, NH",1325
2021-12,Anxiety Disorders,RaceEthnicity,"Black, NH",1450
2021-12,Anxiety Disorders,RaceEthnicity,Hispanic,2102
2021-12,Anxiety Disorders,RaceEthnicity,"Multiple/Other, NH",1589
2021-12,Anxiety Disorders,RaceEthnicity,"NHOPI, NH",1468
2021-12,Anxiety Disorders,RaceEthnicity,"White, NH",3022
2021-11,Anxiety Disorders,RaceEthnicity,"AI/AN, NH",3269
2021-11,Anxiety Disorders,RaceEthnicity,All,2603
2021-11,Anxiety Disorders,RaceEthnicity,"Asian, NH",1527
2021-11,Anxiety Disorders,RaceEthnicity,"Black, NH",1653
