month_end,condition,demographics_type,demographics_values,rate_per_100000_visits
2020-12,Anxiety Disorders,Age,18-34 years,3658
2020-12,Anxiety Disorders,Age,35-64 years,3702
2020-12,Anxiety Disorders,Age,65+ years,2792
2020-12,Anxiety Disorders,Age,All,3192
2020-11,Anxiety Disorders,Age,12-17 years,3086
2020-11,Anxiety Disorders,Age,18-34 years,3639
2020-11,Anxiety Disorders,Age,35-64 years,3741
2020-11,Anxiety Disorders,Age,65+ years,2872
2020-11,Anxiety Disorders,Age,All,3203
2020-10,Anxiety Disorders,Age,12-17 years,3130
2020-10,Anxiety Disorders,Age,18-34 years,3816
2020-10,Anxiety Disorders,Age,35-64 years,4003
2020-10,Anxiety Disorders,Age,65+ years,3031
2020-10,Anxiety Disorders,Age,All,3382
2020-09,Anxiety Disorders,Age,12-17 years,3124
2020-09,Anxiety Disorders,Age,18-34 years,4068
2020-09,Anxiety Disorders,Age,35-64 years,4235
2020-09,Anxiety Disorders,Age,65+ years,3189
2020-09,Anxiety Disorders,Age,All,3570
2020-08,Anxiety Disorders,Age,12-17 years,3022
2020-08,Anxiety Disorders,Age,18-34 years,4033
2020-08,Anxiety Disorders,Age,35-64 years,4191
2020-08,Anxiety Disorders,Age,65+ years,3204
2020-08,Anxiety Disorders,Age,All,3567
2020-07,Anxiety Disorders,Age,12-17 years,2872
2020-07,Anxiety Disorders,Age,18-34 years,3940
2020-07,Anxiety Disorders,Age,35-64 years,4084
2020-07,Anxiety Disorders,Age,65+ years,3094
2020-07,Anxiety Disorders,Age,All,3485
2020-06,Anxiety Disorders,Age,12-17 years,3041
2020-06,Anxiety Disorders,Age,18-34 years,4059
2020-06,Anxiety Disorders,Age,35-64 years,4195
2020-06,Anxiety Disorders,Age,65+ years,3129
2020-06,Anxiety Disorders,Age,All,3576
2020-05,Anxiety Disorders,Age,12-17 years,3422
2020-05,Anxiety Disorders,Age,18-34 years,4392
2020-05,Anxiety Disorders,Age,35-64 years,4435
2020-05,Anxiety Disorders,Age,65+ years,3180
2020-05,Anxiety Disorders,Age,All,3794
2020-04,Anxiety Disorders,Age,12-17 years,3585
2020-04,Anxiety Disorders,Age,18-34 years,4483
2020-04,Anxiety Disorders,Age,35-64 years,4381
2020-04,Anxiety Disorders,Age,65+ years,3102
2020-04,Anxiety Disorders,Age,All,3813
2020-03,Anxiety Disorders,Age,12-17 years,2525
2020-03,Anxiety Disorders,Age,18-34 years,3484
2020-03,Anxiety Disorders,Age,35-64 years,3686
2020-03,Anxiety Disorders,Age,65+ years,2861
2020-03,Anxiety Disorders,Age,All,3008
2020-02,Anxiety Disorders,Age,12-17 years,2345
2020-02,Anxiety Disorders,Age,18-34 years,3397
2020-02,Anxiety Disorders,Age,35-64 years,3702
2020-02,Anxiety Disorders,Age,65+ years,2877
2020-02,Anxiety Disorders,Age,All,2873
2020-01,Anxiety Disorders,Age,12-17 years,2341
2020-01,Anxiety Disorders,Age,18-34 years,3259
2020-01,Anxiety Disorders,Age,35-64 years,3620
2020-01,Anxiety Disorders,Age,65+ years,2736
2020-01,Anxiety Disorders,Age,All,2787
2019-12,Anxiety Disorders,Age,12-17 years,2222
2019-12,Anxiety Disorders,Age,18-34 years,3208
2019-12,Anxiety Disorders,Age,35-64 years,3550
2019-12,Anxiety Disorders,Age,65+ years,2665
2019-12,Anxiety Disorders,Age,All,2678
2019-11,Anxiety Disorders,Age,12-17 years,2307
2019-11,Anxiety Disorders,Age,18-34 years,3360
2019-11,Anxiety Disorders,Age,35-64 years,3638
2019-11,Anxiety Disorders,Age,65+ years,2689
2019-11,Anxiety Disorders,Age,All,2786
2019-10,Anxiety Disorders,Age,12-17 years,2350
2019-10,Anxiety Disorders,Age,18-34 years,3434
2019-10,Anxiety Disorders,Age,35-64 years,3644
2019-10,Anxiety Disorders,Age,65+ years,2742
2019-10,Anxiety Disorders,Age,All,2886
2019-09,Anxiety Disorders,Age,12-17 years,2380
2019-09,Anxiety Disorders,Age,18-34 years,3462
2019-09,Anxiety Disorders,Age,35-64 years,3653
2019-09,Anxiety Disorders,Age,65+ years,2747
2019-09,Anxiety Disorders,Age,All,2919
2019-08,Anxiety Disorders,Age,12-17 years,2371
2019-08,Anxiety Disorders,Age,18-34 years,3497
2019-08,Anxiety Disorders,Age,35-64 years,3696
2019-08,Anxiety Disorders,Age,65+ years,2747
2019-08,Anxiety Disorders,Age,All,2990
2019-07,Anxiety Disorders,Age,12-17 years,2296
2019-07,Anxiety Disorders,Age,18-34 years,3370
2019-07,Anxiety Disorders,Age,35-64 years,3609
