month_end,condition,demographics_type,demographics_values,rate_per_100000_visits
2024-06,Bipolar Disorders,Sex,Male,425
2024-05,Bipolar Disorders,Sex,All,445
2024-05,Bipolar Disorders,Sex,Female,471
2024-05,Bipolar Disorders,Sex,Male,413
2024-04,Bipolar Disorders,Sex,All,456
2024-04,Bipolar Disorders,Sex,Female,484
2024-04,Bipolar Disorders,Sex,Male,423
2024-03,Bipolar Disorders,Sex,All,451
2024-03,Bipolar Disorders,Sex,Female,475
2024-03,Bipolar Disorders,Sex,Male,425
2024-02,Bipolar Disorders,Sex,All,449
2024-02,Bipolar Disorders,Sex,Female,472
2024-02,Bipolar Disorders,Sex,Male,424
2024-01,Bipolar Disorders,Sex,All,453
2024-01,Bipolar Disorders,Sex,Female,477
2024-01,Bipolar Disorders,Sex,Male,425
2023-12,Bipolar Disorders,Sex,All,412
2023-12,Bipolar Disorders,Sex,Female,431
2023-12,Bipolar Disorders,Sex,Male,391
2023-11,Bipolar Disorders,Sex,All,444
2023-11,Bipolar Disorders,Sex,Female,471
2023-11,Bipolar Disorders,Sex,Male,413
2023-10,Bipolar Disorders,Sex,All,460
2023-10,Bipolar Disorders,Sex,Female,490
2023-10,Bipolar Disorders,Sex,Male,426
